City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Cabo San Lucas,MX,93.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
11,Salalah,OM,75.38,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
15,Atuona,PF,77.11,scattered clouds,-9.8,-139.0333,Villa Enata
19,Kropotkin,RU,78.21,broken clouds,45.4375,40.5756,Hotel Europe Kropotkin
20,Yellowknife,CA,87.33,clear sky,62.456,-114.3525,The Explorer Hotel
21,Lafayette,US,92.91,broken clouds,30.2335,-92.0668,"Drury Inn & Suites Lafayette, LA"
23,Rudbar,AF,85.64,clear sky,30.15,62.6,
25,Dodge City,US,85.24,broken clouds,37.7528,-100.0171,Windsor Inn & Suites
26,Lompoc,US,90.12,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
30,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
36,Butaritari,KI,83.17,clear sky,3.0707,172.7902,Isles Sunset Lodge
37,Faanui,PF,77.76,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
43,Norman Wells,CA,91.6,clear sky,65.282,-126.8329,Heritage Hotel
46,Midland,US,82.45,scattered clouds,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
54,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
55,Georgetown,MY,75.88,few clouds,5.4112,100.3354,Cititel Penang
56,Seoul,KR,78.19,light rain,37.5683,126.9778,롯데호텔 서울
58,Leona Vicario,MX,89.82,scattered clouds,20.9667,-87.1917,Don Ros Cabañas y Restaurante
63,Thompson,CA,84.36,few clouds,55.7435,-97.8558,Burntwood Hotel
69,Omboue,GA,75.22,overcast clouds,-1.5746,9.2618,Hotel Olako
72,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
73,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
77,Sola,VU,75.34,overcast clouds,-13.8833,167.55,Leumerus Bungalows
81,Dingle,PH,77.95,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
89,Amalapuram,IN,83.12,overcast clouds,16.5833,82.0167,swayamprabha service apartments
90,Lorengau,PG,84.27,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
97,Mabaruma,GY,76.75,few clouds,8.2,-59.7833,Monty Brooms Guest House
108,Bloomington,US,80.73,clear sky,44.8408,-93.2983,Comfort Inn MSP Airport - Mall Of America
110,Majene,ID,76.96,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
112,Matara,LK,77.86,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
113,Bathsheba,BB,81.82,clear sky,13.2167,-59.5167,Atlantis Hotel
128,Manadhoo,MV,82.87,overcast clouds,5.7667,73.3833,Vevu Guesthouse
129,Barda,AZ,77.45,overcast clouds,40.3744,47.1267,Prins Motel Restoran
131,Cockburn Town,TC,82.13,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
136,Puerto Colombia,CO,87.89,few clouds,10.9878,-74.9547,Hotel El Emigrante
144,Kavieng,PG,82.71,clear sky,-2.5744,150.7967,Nusa Island Retreat
145,Sandpoint,US,87.62,clear sky,48.2766,-116.5533,La Quinta Inn by Wyndham Sandpoint
150,Katsuura,JP,85.1,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
153,Haverhill,US,77.09,broken clouds,42.7762,-71.0773,Best Western Merrimack Valley
154,Hambantota,LK,77.34,clear sky,6.1241,81.1185,Bungalow 63
157,Kavaratti,IN,82.08,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
