City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Puerto Colombia,CO,2021-07-31 17:55:27,10.9878,-74.9547,86.09,75,9,18.41
1,Kathmandu,NP,2021-07-31 17:57:27,27.7167,85.3167,73.62,88,20,2.3
2,Hobart,AU,2021-07-31 17:58:18,-42.8794,147.3294,49.86,65,100,3.0
3,Upernavik,GL,2021-07-31 17:58:19,72.7868,-56.1549,42.51,79,97,5.46
4,Alofi,NU,2021-07-31 17:58:19,-19.0595,-169.9187,78.69,89,100,10.36
5,Bluff,NZ,2021-07-31 17:58:19,-46.6,168.3333,47.8,96,100,2.91
6,Puerto Ayora,EC,2021-07-31 17:58:20,-0.7393,-90.3518,75.16,87,78,5.99
7,New Norfolk,AU,2021-07-31 17:58:20,-42.7826,147.0587,49.5,67,96,3.0
8,Sol-Iletsk,RU,2021-07-31 17:58:20,51.1631,54.9918,81.28,35,63,5.19
9,Phalombe,MW,2021-07-31 17:58:21,-15.8064,35.6507,60.67,83,52,4.27
10,Sampit,ID,2021-07-31 17:58:21,-2.5333,112.95,74.01,95,25,2.57
11,Kapaa,US,2021-07-31 17:56:59,22.0752,-159.319,82.38,73,65,4.0
12,Yellowknife,CA,2021-07-31 17:58:22,62.456,-114.3525,76.28,64,20,1.01
13,Mataura,NZ,2021-07-31 17:58:22,-46.1927,168.8643,47.48,100,100,0.78
14,Dzilam Gonzalez,MX,2021-07-31 17:58:23,21.2833,-88.9333,93.99,46,47,7.67
15,Ushuaia,AR,2021-07-31 17:55:53,-54.8,-68.3,46.06,49,75,16.11
16,Rikitea,PF,2021-07-31 17:58:23,-23.1203,-134.9692,70.63,71,31,10.45
17,Clyde River,CA,2021-07-31 17:58:23,70.4692,-68.5914,46.63,81,75,5.75
18,Camacha,PT,2021-07-31 17:58:24,33.0833,-16.3333,72.36,68,40,14.97
19,Natchitoches,US,2021-07-31 17:58:24,31.7668,-93.1335,96.21,62,40,5.75
20,Kabanjahe,ID,2021-07-31 17:58:24,3.1001,98.4908,61.56,98,94,2.98
21,Ahipara,NZ,2021-07-31 17:53:56,-35.1667,173.1667,52.2,89,60,6.51
22,Kirensk,RU,2021-07-31 17:58:25,57.7853,108.1119,57.0,61,0,4.61
23,Butaritari,KI,2021-07-31 17:58:25,3.0707,172.7902,80.6,76,90,4.61
24,Nome,US,2021-07-31 17:58:25,64.5011,-165.4064,50.07,87,90,24.16
25,College,US,2021-07-31 17:58:26,64.8569,-147.8028,64.09,75,97,1.99
